347,99
464,47
396,141
385,138
396,115
281,74
411,362
464,47
492,62
348,209
373,134
374,211
385,164
362,238
348,323
317,89
333,152
347,127
362,210
347,156
333,123
409,318
460,62
349,348
375,238
361,131
374,161
361,158
347,181
487,65
334,296
361,183
348,295
376,370
282,235
348,266
218,412
275,54
333,123
349,377
333,207
334,266
333,237
282,61
396,188
385,186
333,180
373,107
301,83
363,373
240,372
510,64
474,63
239,304
377,396
501,63
386,239
500,58
386,212
362,266
241,406
387,392
376,343
240,338
386,265
469,384
399,239
376,293
190,160
239,269
216,341
320,445
349,405
216,306
215,270
387,317
387,340
239,234
218,62
516,64
517,54
377,423
413,255
479,64
362,294
376,265
399,313
348,237
261,235
333,94
386,292
508,59
217,376
215,233
361,104
517,54
190,233
317,73
190,270
516,62
479,51
517,54
497,50
550,334
257,69
227,54
485,91
412,231
479,51
411,120
523,40
301,80
517,54
399,265
416,294
478,51
477,51
503,230
485,331
514,60
410,132
397,165
502,51
364,428
191,307
388,418
397,213
412,231
385,112
464,47
423,230
509,61
246,55
422,55
423,318
462,37
413,255
468,62
558,230
473,34
464,47
499,41
209,55
242,68
520,231
509,40
116,234
505,66
116,268
443,57
422,255
422,255
192,345
518,40
100,302
193,37
247,68
215,53
558,230
474,38
100,75
164,233
423,313
100,268
187,31
140,269
539,231
471,132
100,268
164,164
610,107
